"Location";"Latitude (decimal)";"Longitude (decimal)";"Year of issue";"Diplomas";"Shire";"Donated in royal diploma at (location)";"Prom Lat";"Prom Lon"
"Latchingdon";;;"1066";"S 1043";"Essex";"Westminster"
"Launton";;;"1066";"S 1043";"Oxfordshire";"Westminster"
"Lessness";;;"1066";"S 1043";"Kent";"Westminster"
"Leyton";;;"1066";"S 1043";"Essex";"Westminster"
"Lothereslege (lost,  in Hendon)";;;"998";"S 894";"Middlesex";"Westminster"
"Mapulderforde (? Maplestead)";;;"1066";"S 1043";"Essex";"Westminster"
"Morden";;;"1066";"S 1043";"Surrey";"Westminster"
"Moulsham";;;"1066";"S 1043";"Essex";"Westminster"
"Paddington";;;"998";"S 894";"Middlesex";"Westminster"
"Paglesham";;;"1066";"S 1043";"Essex";"Westminster"
"Parham";;;"1066";"S 1043";"Sussex";"Westminster"
"Pershore";;;"1066";"S 1043";"Worcestershire";"Westminster"
"Perton";;;"1066";"S 1043";"Staffordshire";"Westminster"
"Rayne";;;"1066";"S 1043";"Essex";"Westminster"
"Rutland (shire)";;;"1066";"S 1043";"Rutland";"Westminster"
"Shepperton";;;"998, 1066";"S 894, S 1043";"Middlesex";"Westminster"
"Staines";;;"1066";"S 1043";"Middlesex";"Westminster"
"Stevenage";;;"1066";"S 1043";"Hertfordshire";"Westminster"
"Sudborough";;;"1066";"S 1043";"Northamptonshire";"Westminster"
"Sullington";;;"998";"S 894";"Sussex";"Westminster"
"Sunbury";;;"1066";"S 1043";"Middlesex";"Westminster"
"Wanstead";;;"1066";"S 1043";"Essex";"Westminster"
"Watton-at-Stone";;;"1066";"S 1043";"Hertfordshire";"Westminster"
"Weedon";;;"1066";"S 1043";"Buckinghamshire";"Westminster"
"Wennington";;;"1066";"S 1043";"Essex";"Westminster"
"West Chiltington";;;"1066";"S 1043";"Sussex";"Westminster"
"Westminster (town)";;;"998, 1066";"S 894, S 1043";"Middlesex";"Westminster"
"Wheathampstead";;;"1066";"S 1043";"Hertfordshire";"Westminster"
"Windsor";;;"1066";"S 1043";"Berkshire";"Westminster"
"Wormley";;;"1066";"S 1043";"Hertfordshire";"Westminster"
"Collingbourne";;;"933";"S 379";"Wiltshire";"Wilton"
