Location,Latitude (decimal),Longitude (decimal),Year of issue,Diplomas,Shire,Donated in royal diploma at (location),Prom Lat,Prom Lon,Latitude (programmatic),Longitude (programmatic),Certainty,Sources
Frimley,,,"933, 967","S 420, S 752",Surrey,Kingston-on-Thames,51.674265,-1.2825865,,,,
"Getinges (cf. Eaton Farm,  Chobham)",,,"885, 933","S 353, S 420",Surrey,Kingston-on-Thames,51.674265,-1.2825865,,,,
Hunewaldesham (lost) in Weybridge,,,"885, 933","S 353, S 420",Surrey,Kingston-on-Thames,51.674265,-1.2825865,,,,
Merstham,,,"933, 947, 967, 1051","S 420, S 528, S 752, S 1047",Surrey,Kingston-on-Thames,51.674265,-1.2825865,,,,
Mitcham,,,933,S 420,Surrey,Kingston-on-Thames,51.674265,-1.2825865,,,,
Molesey,,,933,S 420,Surrey,Kingston-on-Thames,51.674265,-1.2825865,,,,
Pendrea,,,925,S 450,Cornwall,Kingston-on-Thames,51.674265,-1.2825865,,,,
Petersham,,,933,S 420,Surrey,Kingston-on-Thames,51.674265,-1.2825865,,,,
Pointers in Cobham,,,933,S 420,Surrey,Kingston-on-Thames,51.674265,-1.2825865,,,,
Streatham,,,933,S 420,Surrey,Kingston-on-Thames,51.674265,-1.2825865,,,,
"Suthmeresfelda (Canon’s Farm,  Banstead)",,,933,S 420,Surrey,Kingston-on-Thames,51.674265,-1.2825865,,,,
Sutton,,,933,S 420,Surrey,Kingston-on-Thames,51.674265,-1.2825865,,,,
Tadworth,,,933,S 420,Surrey,Kingston-on-Thames,51.674265,-1.2825865,,,,
Thorpe,,,933,S 420,Surrey,Kingston-on-Thames,51.674265,-1.2825865,,,,
Thunderfield,,,933,S 420,Surrey,Kingston-on-Thames,51.674265,-1.2825865,,,,
Tooting,,,933,S 420,Surrey,Kingston-on-Thames,51.674265,-1.2825865,,,,
Treikyn,,,925,S 450,Cornwall,Kingston-on-Thames,51.674265,-1.2825865,,,,
Treverven,,,925,S 450,Cornwall,Kingston-on-Thames,51.674265,-1.2825865,,,,
Waddington,,,93,S 420,Surrey,Kingston-on-Thames,51.674265,-1.2825865,,,,
Warkton,,,946,S 520,Northamptonshire,Kingston-on-Thames,51.674265,-1.2825865,,,,
Werburginland (? Way (Wayborough) near Minster),,,924,S 394,Kent,Kingston-on-Thames,51.674265,-1.2825865,,,,
West Clandon,,,933,S 420,Surrey,Kingston-on-Thames,51.674265,-1.2825865,,,,
Weybridge,,,933,S 420,Surrey,Kingston-on-Thames,51.674265,-1.2825865,,,,
White Waltham,,,933,S 420,Berkshire,Kingston-on-Thames,51.674265,-1.2825865,,,,
Woodham in Chertsey,,,933,S 420,Surrey,Kingston-on-Thames,51.674265,-1.2825865,,,,
Ewell,,,933,S 420,Surrey,Kingston-on-Thames,51.674265,-1.2825865,,,,
Ham,,,931,S 416,Wiltshire,"Lifton, Westminster",,,,,,
Brabourne,,,996,S 877,Kent,London,51.4893335,-0.1440551,,,,
Burhwarefelda,,,996,S 877,Kent,London,51.4893335,-0.1440551,,,,
Chalk,,,996,S 877,Kent,London,51.4893335,-0.1440551,,,,
Cofton Hackett,,,934,S 428,Worcestershire,London,51.4893335,-0.1440551,,,,
Crowland,,,1032,S 965,Lincolnshire,London,51.4893335,-0.1440551,,,,
Evegate,,,996,S 877,Kent,London,51.4893335,-0.1440551,,,,
Hopwood in Alvechurch,,,934,S 428,Worcestershire,London,51.4893335,-0.1440551,,,,
Nackington,,,996,S 877,Kent,London,51.4893335,-0.1440551,,,,
Rednal in Kings Norton,,,934,S 428,Worcestershire,London,51.4893335,-0.1440551,,,,
Wast Hills,,,934,S 428,Worcestershire,London,51.4893335,-0.1440551,,,,
Werstfelda,,,934,S 428,Worcestershire,London,51.4893335,-0.1440551,,,,
Wirigenn (? Perry),,,996,S 877,Kent,London,51.4893335,-0.1440551,,,,
Earnley,,,930,S 403,Sussex,Lyminster,50.8339978,-0.5475421,,,,
Medmerry,,,930,S 403,Sussex,Lyminster,50.8339978,-0.5475421,,,,
Chelworth in Crudwell,,,885,S 356,Wiltshire,Malmesbury,51.58447,-2.0982042,,,,
(West) Meon,,,932,S 417,Hampshire,Milton,52.2422961,0.1604726,,,,
Stanton St Bernard,,,903,S 368,Wiltshire,Milton,52.2422961,0.1604726,,,,
Amounderness,,,934,S 407,Lancashire,Nottingham,52.9534193,-1.1496461,,,,
Aston (? Aston Sutton),,,958,S 667,Cheshire,Penkridge,52.7246633,-2.1127563,,,,
Barrow (? Great Barrow),,,958,S 667,Cheshire,Penkridge,52.7246633,-2.1127563,,,,
Cheavely,,,958,S 667,Cheshire,Penkridge,52.7246633,-2.1127563,,,,
Hoseley,,,958,S 667,Cheshire,Penkridge,52.7246633,-2.1127563,,,,
Huntington,,,958,S 667,Cheshire,Penkridge,52.7246633,-2.1127563,,,,
Upton,,,958,S 667,Cheshire,Penkridge,52.7246633,-2.1127563,,,,
Hypeles eald land (Treable in Cheriton Bishop),,,976,S 830,Devonshire,Puddletown,50.7489205,-2.3468411,,,,
Caughley in Barrow,,,901,S 221,Shropshire,Shrewsbury,52.707755,-2.7540658,,,,
Easthope,,,901,S 221,Shropshire,Shrewsbury,52.707755,-2.7540658,,,,
Patton,,,901,S 221,Shropshire,Shrewsbury,52.707755,-2.7540658,,,,
Stanton Long,,,901,S 221,Shropshire,Shrewsbury,52.707755,-2.7540658,,,,
Suthtone (? Sutton Maddock),,,949,S 549,Shropshire,Somerton,51.06161,-2.7548573,,,,
Hardwell in Compton Beauchamp,,,903,S 369,Berkshire,Southampton,50.9025349,-1.404189,,,,
Worthy,,,900,S 360,Hampshire,Southampton,50.9025349,-1.404189,,,,
Farnborough,,,1042,S 993,Berkshire,Sutton Courtenay,51.6397508,-1.2777309,,,,
Downton,50.993,-1.743,"997, 1051",S 891,Wiltshire,"Wantage, Calne",,,,,,
Ebbesborne,51.017,-2.013,997, S 891,Wiltshire,"Wantage, Calne",,,,,,
Farnborough,,,915,S 225,"Berkshire, Warwickshire",Weardburg,,,,,,
