Location,Latitude (decimal),Longitude (decimal),Year of issue,Diplomas,Shire,Donated in royal diploma at (location),Lat (comp.),Lon (comp.),Predicted accuracy,Notes,Prom Lat,Prom Lon,Estate Lat Fallback,Estate Lon Fallback,Distance,Distance numeric
Whitehill in Tackley,"51.8658905926398","-1.3092044857871907","1004",S 909,Oxfordshire,Headington,,,Not found,,"51.7601673","-1.2109282","51.8658905926398","-1.3092044857871907","13.575962274406102",
Albury,,,"933",S 420,Surrey,Kingston-on-Thames,"51.209119","-0.4936554",Shire match,,"51.6743611","-1.2821216","51.209119","-0.4936554","75.39550594286246",
Banstead,,,"933",S 420,Surrey,Kingston-on-Thames,"51.3238969","-0.1986813",Shire match,,"51.6743611","-1.2821216","51.3238969","-0.1986813","84.7386039936871",
Beddington,"51.36881911911773","-0.1270396217415407","933",S 420,Surrey,Kingston-on-Thames,,,Not found,,"51.6743611","-1.2821216","51.36881911911773","-0.1270396217415407","87.07960945862708",
Bisley,,,"933",S 420,Surrey,Kingston-on-Thames,"51.3234698","-0.6383949",Shire match,,"51.6743611","-1.2821216","51.3234698","-0.6383949","59.34875377261336",
Bookham,,,"933, 947, 967, 1051",S 420,Surrey,Kingston-on-Thames,"51.2888353","-0.3838753",Shire match,,"51.6743611","-1.2821216","51.2888353","-0.3838753","75.71908544731957",
Bosanketh,"50.08445093054118","-5.662244039227806","925",S 450,Cornwall,Kingston-on-Thames,,,Not found,Little Bosanketh Farm,"51.6743611","-1.2821216","50.08445093054118","-5.662244039227806","355.3203918963473",
Bosliven,"50.07064988789363","-5.610565594148566","925",S 450,Cornwall,Kingston-on-Thames,,,Not found,There is a Bosliven farm in Cornwall,"51.6743611","-1.2821216","50.07064988789363","-5.610565594148566","352.9839835851594",
Botilwoelon,,,"925",S 450,Cornwall,Kingston-on-Thames,,,Not found,,"51.6743611","-1.2821216",,,,
Burnewhall,,,"925",S 450,Cornwall,Kingston-on-Thames,,,Not found,,"51.6743611","-1.2821216",,,,
Byfleet,,,"933",S 420,Surrey,Kingston-on-Thames,"51.3401727","-0.472897",Shire match,,"51.6743611","-1.2821216","51.3401727","-0.472897","67.37208884810148",
Carshalton (Æuueltone),"51.36472712240874","-0.1638171024925499","933",S 420,Surrey,Kingston-on-Thames,,,Not found,,"51.6743611","-1.2821216","51.36472712240874","-0.1638171024925499","84.92228566695648",
Cealuadune (Chaldon),"51.28043833338938","-0.1178273927923678","927",S 420,Surrey,Kingston-on-Thames,,,Not found,,"51.6743611","-1.2821216","51.28043833338938","-0.1178273927923678","91.99762436841075",
Cheam,,,"928",S 420,Surrey,Kingston-on-Thames,"51.3518694","-0.2229866",Shire match,,"51.6743611","-1.2821216","51.3518694","-0.2229866","81.81212040176226",
Chertsey,,,"929",S 420,Surrey,Kingston-on-Thames,"51.392296","-0.5038294",Shire match,,"51.6743611","-1.2821216","51.392296","-0.5038294","62.461026168789495",
Chipstead,,,"930",S 420,Surrey,Kingston-on-Thames,"51.3093522","-0.1693688",Shire match,,"51.6743611","-1.2821216","51.3093522","-0.1693688","87.30260903451924",
Chobham,,,"931",S 420,Surrey,Kingston-on-Thames,"51.3477705","-0.6010128",Shire match,,"51.6743611","-1.2821216","51.3477705","-0.6010128","59.63322577708553",
Cobham,,,"932",S 420,Surrey,Kingston-on-Thames,"51.3300079","-0.4120821",Shire match,,"51.6743611","-1.2821216","51.3300079","-0.4120821","71.5363315285979",
Coulsdon,,,"933",S 420,Surrey,Kingston-on-Thames,"51.29723","-0.1061029",Shire match,,"51.6743611","-1.2821216","51.29723","-0.1061029","91.83298981875592",
Cuddington,,,"933",S 420,Surrey,Kingston-on-Thames,"51.3764891","-0.2554486",Shire match,,"51.6743611","-1.2821216","51.3764891","-0.2554486","78.58214394758295",
Dritham,,,"933",S 420,Surrey,Kingston-on-Thames,,,Not found,Cannot find,"51.6743611","-1.2821216",,,,
East Clandon,,,"933",S 420,Surrey,Kingston-on-Thames,"51.2568306","-0.4826123",Shire match,,"51.6743611","-1.2821216","51.2568306","-0.4826123","72.4204717905847",
Effingham,,,"933",S 420,Surrey,Kingston-on-Thames,"51.271863","-0.3977913",Shire match,,"51.6743611","-1.2821216","51.271863","-0.3977913","76.03035314273237",
Egham,,,"933",S 420,Surrey,Kingston-on-Thames,"51.4312585","-0.5473085",Shire match,,"51.6743611","-1.2821216","51.4312585","-0.5473085","57.6985990262322",
Epsom,,,"933",S 420,Surrey,Kingston-on-Thames,"51.3326098","-0.2678212",Shire match,,"51.6743611","-1.2821216","51.3326098","-0.2678212","80.03546885448426",
Folkestone,,,"927, 1035, 1051","S 398, S 981, S 1047",Kent,Kingston-on-Thames,"51.0791335","1.1794073",Shire match,,"51.6743611","-1.2821216","51.0791335","1.1794073","183.72760492488396",
Frimley,,,"933, 967","S 420, S 752",Surrey,Kingston-on-Thames,"51.3140156","-0.7440667",Shire match,,"51.6743611","-1.2821216","51.3140156","-0.7440667","54.80518065671792",
"Getinges (cf. Eaton Farm,  Chobham)","51.35737671669661","-0.6069373666460964","885, 933","S 353, S 420",Surrey,Kingston-on-Thames,,,Not found,"Very unsure, just centred on Chobham","51.6743611","-1.2821216","51.35737671669661","-0.6069373666460964","58.65500604161615",
Hunewaldesham (lost) in Weybridge,"51.36635306774559","-0.4453686793211053","885, 933","S 353, S 420",Surrey,Kingston-on-Thames,,,Not found,Centred on Weybridge,"51.6743611","-1.2821216","51.36635306774559","-0.4453686793211053","67.43421142154988",
Merstham,,,"933, 947, 967, 1051","S 420, S 528, S 752, S 1047",Surrey,Kingston-on-Thames,"51.2641687","-0.150065",Shire match,,"51.6743611","-1.2821216","51.2641687","-0.150065","90.94168155859376",
Mitcham,,,"933",S 420,Surrey,Kingston-on-Thames,"51.353138","-0.7204885",Shire match,,"51.6743611","-1.2821216","51.353138","-0.7204885","52.88964074178898",
Molesey,,,"933",S 420,Surrey,Kingston-on-Thames,"51.4029006","-0.3713094",Shire match,,"51.6743611","-1.2821216","51.4029006","-0.3713094","70.03955408597407",
Pendrea,,,"925",S 450,Cornwall,Kingston-on-Thames,"50.5282232","-4.6800605",Shire match,,"51.6743611","-1.2821216","50.5282232","-4.6800605","269.9727804868847",
Petersham,,,"933",S 420,Surrey,Kingston-on-Thames,"51.3414264","-0.4776999",Shire match,,"51.6743611","-1.2821216","51.3414264","-0.4776999","67.01643468966958",
Pointers in Cobham,"51.32012959960232","-0.4386804274491057","933",S 420,Surrey,Kingston-on-Thames,,,Not found,Placed on the end of Pointers Road,"51.6743611","-1.2821216","51.32012959960232","-0.4386804274491057","70.59651012165139",
Streatham,"51.42960593160443","-0.1293768524043626","933",S 420,Surrey,Kingston-on-Thames,,,Not found,,"51.6743611","-1.2821216","51.42960593160443","-0.1293768524043626","84.46493443515506",
"Suthmeresfelda (Canon’s Farm,  Banstead)","51.30478699084858","-0.2110603165394247","933",S 420,Surrey,Kingston-on-Thames,,,Not found,,"51.6743611","-1.2821216","51.30478699084858","-0.2110603165394247","84.99793171489158",
Sutton,,,"933",S 420,Surrey,Kingston-on-Thames,"51.1967997","-0.6229249",Shire match,,"51.6743611","-1.2821216","51.1967997","-0.6229249","70.17240921972689",
Tadworth,,,"933",S 420,Surrey,Kingston-on-Thames,"51.2912247","-0.2326709",Shire match,,"51.6743611","-1.2821216","51.2912247","-0.2326709","84.44831128545138",
Thorpe,,,"933",S 420,Surrey,Kingston-on-Thames,"51.408913","-0.5329621",Shire match,,"51.6743611","-1.2821216","51.408913","-0.5329621","59.7790045776857",
Thunderfield,,,"933",S 420,Surrey,Kingston-on-Thames,"51.1674651","-0.1419385",Shire match,,"51.6743611","-1.2821216","51.1674651","-0.1419385","97.31623314683432",
Tooting,"51.42902731996927","-0.1650462588851632","933",S 420,Surrey,Kingston-on-Thames,,,Not found,,"51.6743611","-1.2821216","51.42902731996927","-0.1650462588851632","82.14873868590162",
Treikyn,,,"925",S 450,Cornwall,Kingston-on-Thames,,,Not found,Cannot find a Treikyn in Cornwall,"51.6743611","-1.2821216",,,,
Treverven,,,"925",S 450,Cornwall,Kingston-on-Thames,"50.0573016","-5.6175537",Shire match,,"51.6743611","-1.2821216","50.0573016","-5.6175537","354.1968465102287",
Waddington,,,"93",S 420,Surrey,Kingston-on-Thames,,,Not found,Cannot find a Waddington in Surrey,"51.6743611","-1.2821216",,,,
