Location,Estate Lat (WIP),Estate Lon (WIP),Year of issue,Diplomas,Diploma authenticity (as in Notion),Category of diploma authenticity (quadripartite simplification),Beneficiary,Beneficiary: commu or person,Beneficiary person: lay or ecclesiastic,Diploma preserved at (archive),Num diplomas,Shire,Promulgation site,Lat (comp.),Lon (comp.),Predicted accuracy,Notes,Archive Lat,Archive Lon,Prom Lat,Prom Lon,Estate Lat,Estate Lon,Distance between estate and promulgation site,Distance between estate and archive,Int Estate Promulgation Distance
Mapulderforde (? Maplestead),"51.9801700248","0.6315079784","1066",S 1043,spurious,spurious,Westminster abbey,community,,Westminster,"1",Essex,Westminster,,,Not found,C12 church with framgentary AS stonework https://historicengland.org.uk/listing/the-list/list-entry/1337989?section=official-list-entry,,,"51.5004439","-0.1265398","51.9801700248","0.6315079784","74.7702898647",,
Morden,,,"1066",S 1043,spurious,spurious,Westminster abbey,community,,Westminster,"1",Surrey,Westminster,"51.3026901","-0.2280833",Shire match,,,,"51.5004439","-0.1265398","51.3026901","-0.2280833","23.1082356757",,
Moulsham,,,"1066",S 1043,spurious,spurious,Westminster abbey,community,,Westminster,"1",Essex,Westminster,"51.7265808","0.4712557",Shire match,,,,"51.5004439","-0.1265398","51.7265808","0.4712557","48.4523191773",,
Paglesham,,,"1066",S 1043,spurious,spurious,Westminster abbey,community,,Westminster,"1",Essex,Westminster,"51.5996413","0.7958937",Shire match,,,,"51.5004439","-0.1265398","51.5996413","0.7958937","64.9284918341",,
Parham,,,"1066",S 1043,spurious,spurious,Westminster abbey,community,,Westminster,"1",Sussex,Westminster,"50.9194442","-0.5010893",Shire match,,,,"51.5004439","-0.1265398","50.9194442","-0.5010893","69.7354937753",,
Pershore,,,"1066",S 1043,spurious,spurious,Westminster abbey,community,,Westminster,"1",Worcestershire,Westminster,"52.1096993","-2.0754758",Shire match,,,,"51.5004439","-0.1265398","52.1096993","-2.0754758","150.5472173187",,
Perton,,,"1066",S 1043,spurious,spurious,Westminster abbey,community,,Westminster,"1",Staffordshire,Westminster,"52.5957196","-2.2033801",Shire match,,,,"51.5004439","-0.1265398","52.5957196","-2.2033801","187.4773768453",,
Rayne,,,"1066",S 1043,spurious,spurious,Westminster abbey,community,,Westminster,"1",Essex,Westminster,"51.8879146","0.4944322",Shire match,,,,"51.5004439","-0.1265398","51.8879146","0.4944322","60.8446145716",,
Rutland (shire),"52.6583601788","-0.7062203375","1066",S 1043,spurious,spurious,Westminster abbey,community,,Westminster,"1",Rutland,Westminster,,,Not found,Norman church https://historicengland.org.uk/listing/heritage-at-risk/search-register/list-entry/21021,,,"51.5004439","-0.1265398","52.6583601788","-0.7062203375","134.8286139076",,
Shepperton,"51.3958628573","-0.4486578817","1066",S 1043,spurious,spurious,Westminster abbey,community,,Westminster,"1",Middlesex,Westminster,,,Not found,,,,"51.5004439","-0.1265398","51.3958628573","-0.4486578817","25.2357885937",,
Staines,"51.4335869171","-0.5127579861","1066",S 1043,spurious,spurious,Westminster abbey,community,,Westminster,"1",Middlesex,Westminster,,,Not found,Presumably Staines-upon-Thames,,,"51.5004439","-0.1265398","51.4335869171","-0.5127579861","27.8502065487",,
Stevenage,,,"1066",S 1043,spurious,spurious,Westminster abbey,community,,Westminster,"1",Hertfordshire,Westminster,"51.9016663","-0.2027155",Shire match,,,,"51.5004439","-0.1265398","51.9016663","-0.2027155","44.9502351825",,
Sudborough,,,"1066",S 1043,spurious,spurious,Westminster abbey,community,,Westminster,"1",Northamptonshire,Westminster,"52.4361016","-0.5857794",Shire match,,,,"51.5004439","-0.1265398","52.4361016","-0.5857794","108.7860856421",,
Sunbury,"51.4184254055","-0.4187168637","1066",S 1043,spurious,spurious,Westminster abbey,community,,Westminster,"1",Middlesex,Westminster,,,Not found,"Sunbury on Thames, presumably",,,"51.5004439","-0.1265398","51.4184254055","-0.4187168637","22.262944207",,
Wanstead,"51.5773526576","0.0240995576","1066",S 1043,spurious,spurious,Westminster abbey,community,,Westminster,"1",Essex,Westminster,,,Not found,,,,"51.5004439","-0.1265398","51.5773526576","0.0240995576","13.5075258531",,
Watton-at-Stone,,,"1066",S 1043,spurious,spurious,Westminster abbey,community,,Westminster,"1",Hertfordshire,Westminster,"51.8585119","-0.1165373",Shire match,,,,"51.5004439","-0.1265398","51.8585119","-0.1165373","39.8451015884",,
Weedon,,,"1066",S 1043,spurious,spurious,Westminster abbey,community,,Westminster,"1",Buckinghamshire,Westminster,"51.8559075","-0.8191189",Shire match,,,,"51.5004439","-0.1265398","51.8559075","-0.8191189","62.120889892",,
