Location,Estate Lat (WIP),Estate Lon (WIP),Year of issue,Diplomas,Diploma authenticity (as in Notion),Category of diploma authenticity (quadripartite simplification),Beneficiary,Beneficiary: commu or person,Beneficiary person: lay or ecclesiastic,Diploma preserved at (archive),Num diplomas,Shire,Promulgation site,Lat (comp.),Lon (comp.),Predicted accuracy,Notes,Archive Lat,Archive Lon,Prom Lat,Prom Lon,Estate Lat,Estate Lon,Distance between estate and promulgation site,Distance between estate and archive,Int Estate Promulgation Distance
Huntington,,,"958",S 667,authentic,authentic,"Chester, St Werburg",community,,"Chester, St Werburg","1",Cheshire,Penkridge,"53.1634849","-2.8648306",Shire match,,,,"52.7246633","-2.1127563","53.1634849","-2.8648306","70.2904227957",,
Upton,,,"958",S 667,authentic,authentic,"Chester, St Werburg",community,,"Chester, St Werburg","1",Cheshire,Penkridge,"53.2116132","-2.8856715",Shire match,,,,"52.7246633","-2.1127563","53.2116132","-2.8856715","75.0544330504",,
Between the Tyburn and the Fleet,"51.5146026896","-0.1320128413","959",S 670,spurious (based on earlier documentation),likely spurious,Westminster abbey,community,,Westminster,"1",Middlesex,Glastonbury,,,Not found,"Placed in Soho, roughly between Tyburn and Fleet",,,"51.14804","-2.716577","51.5146026896","-0.1320128413","184.6831396535",,
Blackwell in Tredington,"52.088631651","-1.6490560598","963",S 731,spurious,spurious,Worcester,community,,Worcester,"1",Worcestershire,Gloucester,,,Not found,,,,"51.8653705","-2.2458192","52.088631651","-1.6490560598","47.9430264656",,
Blockley,,,"963",S 731,spurious,spurious,Worcester,community,,Worcester,"1",Gloucestershire,Gloucester,"52.0223907","-1.7408221",Shire match,,,,"51.8653705","-2.2458192","52.0223907","-1.7408221","38.8727713463",,
Bredon,,,"963",S 731,spurious,spurious,Worcester,community,,Worcester,"1",Worcestershire,Gloucester,"52.0311079","-2.112163",Shire match,,,,"51.8653705","-2.2458192","52.0311079","-2.112163","20.6039549919",,
Cropthorne,,,"963",S 731,spurious,spurious,Worcester,community,,Worcester,"1",Worcestershire,Gloucester,"52.1049064","-2.0011014",Shire match,,,,"51.8653705","-2.2458192","52.1049064","-2.0011014","31.5119686815",,
Daylesford,,,"949, 963",S 731,spurious,spurious,Worcester,community,,Worcester,"1",Gloucestershire,Gloucester,"51.9311658","-1.6467043",Shire match,,,,"51.8653705","-2.2458192","51.9311658","-1.6467043","41.8838448888",,
Dorn in Batsford,"52.0039487444","-1.7039133716","963",S 731,spurious,spurious,Worcester,community,,Worcester,"1",Gloucestershire,Gloucester,,,Not found,,,,"51.8653705","-2.2458192","52.0039487444","-1.7039133716","40.3345731781",,
Evenlode,,,"963, 1051",S 731,spurious,spurious,Worcester,community,,Worcester,"1",Gloucestershire,Gloucester,"51.9638236","-1.674951",Shire match,,,,"51.8653705","-2.2458192","51.9638236","-1.674951","40.7794086857",,
Grimley,,,"963",S 731,spurious,spurious,Worcester,community,,Worcester,"1",Worcestershire,Gloucester,"52.240114","-2.2413205",Shire match,,,,"51.8653705","-2.2458192","52.240114","-2.2413205","41.6982344319",,
Hallow,,,"963",S 731,spurious,spurious,Worcester,community,,Worcester,"1",Worcestershire,Gloucester,"52.2216182","-2.2544279",Shire match,,,,"51.8653705","-2.2458192","52.2216182","-2.2544279","39.6434330476",,
Harvington,,,"963",S 731,spurious,spurious,Worcester,community,,Worcester,"1",Worcestershire,Gloucester,"52.1386899","-1.9197959",Shire match,,,,"51.8653705","-2.2458192","52.1386899","-1.9197959","37.7644038221",,
Icomb,,,"963",S 731,spurious,spurious,Worcester,community,,Worcester,"1",Gloucestershire,Gloucester,"51.9012782","-1.6922932",Shire match,,,,"51.8653705","-2.2458192","51.9012782","-1.6922932","38.3225544318",,
Knightwick,,,"963",S 731,spurious,spurious,Worcester,community,,Worcester,"1",Worcestershire,Gloucester,"52.2005208","-2.3948939",Shire match,,,,"51.8653705","-2.2458192","52.2005208","-2.3948939","38.6693654785",,
Little Witley,,,"963",S 731,spurious,spurious,Worcester,community,,Worcester,"1",Worcestershire,Gloucester,"52.2706289","-2.3186977",Shire match,,,,"51.8653705","-2.2458192","52.2706289","-2.3186977","45.3686380278",,
Mitton in Bredon,"51.9970052757","-2.1519074039","963",S 731,spurious,spurious,Worcester,community,,Worcester,"1",Worcestershire,Gloucester,,,Not found,,,,"51.8653705","-2.2458192","51.9970052757","-2.1519074039","16.0076609626",,
Northwick in Blockley,,,"963",S 731,spurious,spurious,Worcester,community,,Worcester,"1",Gloucestershire,Gloucester,"52.0307948","-1.7531593",Shire match,,,,"51.8653705","-2.2458192","52.0307948","-1.7531593","38.5516238862",,
Overbury,,,"963",S 731,spurious,spurious,Worcester,community,,Worcester,"1",Worcestershire,Gloucester,"52.034755","-2.0632074",Shire match,,,,"51.8653705","-2.2458192","52.034755","-2.0632074","22.6459376646",,
Pendock,,,"963",S 731,spurious,spurious,Worcester,community,,Worcester,"1",Worcestershire,Gloucester,"51.9930493","-2.3157651",Shire match,,,,"51.8653705","-2.2458192","51.9930493","-2.3157651","14.9989328924",,
Sedgeberrow,,,"963",S 731,spurious,spurious,Worcester,community,,Worcester,"1",Worcestershire,Gloucester,"52.0452687","-1.9684868",Shire match,,,,"51.8653705","-2.2458192","52.0452687","-1.9684868","27.6434578359",,
Shipston-on-Stour,,,"963",S 731,spurious,spurious,Worcester,community,,Worcester,"1",Warwickshire,Gloucester,"52.0630181","-1.6247264",Shire match,,,,"51.8653705","-2.2458192","52.0630181","-1.6247264","48.0207976436",,
Teddington,,,"963",S 731,spurious,spurious,Worcester,community,,Worcester,"1",Gloucestershire,Gloucester,"51.9964573","-2.0446998",Shire match,,,,"51.8653705","-2.2458192","51.9964573","-2.0446998","20.1024541378",,
Tredington,,,"963",S 731,spurious,spurious,Worcester,community,,Worcester,"1",Warwickshire,Gloucester,"52.0902906","-1.6254083",Shire match,,,,"51.8653705","-2.2458192","52.0902906","-1.6254083","49.4324799279",,
Armingford,,,"970",S 776,authentic,authentic,Æthelwold 1,person,ecclesiastic,Ely,"1",Cambridgeshire,Woolmer,"52.0862689","0.0284027",Shire match,,,,"51.0937792","-0.7481479","52.0862689","0.0284027","122.8387376232",,
Melbourn,,,"970",S 776,authentic,authentic,Æthelwold 1,person,ecclesiastic,Ely,"1",Cambridgeshire,Woolmer,"52.0817224","0.0186616",Shire match,,,,"51.0937792","-0.7481479","52.0817224","0.0186616","122.0900365807",,
Ely,,,"970",S 776,authentic,authentic,Æthelwold 1,person,ecclesiastic,Ely,"1",Cambridgeshire,Woolmer,"52.3990199","0.262039",Shire match,,,,"51.0937792","-0.7481479","52.3990199","0.262039","161.1102782829",,
Armingford,,,"970",S 779,disputed (probably spurious),likely spurious,Ely abbey,community,,Ely,"1",Cambridgeshire,Woolmer,"52.0862689","0.0284027",Shire match,,,,"51.0937792","-0.7481479","52.0862689","0.0284027","122.8387376232",,
Melbourn,,,"970",S 779,disputed (probably spurious),likely spurious,Ely abbey,community,,Ely,"1",Cambridgeshire,Woolmer,"52.0817224","0.0186616",Shire match,,,,"51.0937792","-0.7481479","52.0817224","0.0186616","122.0900365807",,
Northwold,,,"970",S 779,disputed (probably spurious),likely spurious,Ely abbey,community,,Ely,"1",Norfolk,Woolmer,"52.5431885","0.5773957",Shire match,,,,"51.0937792","-0.7481479","52.5431885","0.5773957","185.3611768043",,
Aston in Wellington,"52.7018888976","-2.5153326263","975",S 802,authentic,authentic,Ealhhelm 15,person,lay,"Winchester, Old Minster","1",Shropshire,Glastonbury,,,Not found,"Centred on Wellington, Shropshire",,,"51.14804","-2.716577","52.7018888976","-2.5153326263","173.4436117471",,
Taunton,"51.019","-3.1","968",S 806,disputed suspicious (and/or opinions vary),likely authentic,"Winchester, Old Minster",community,,"Winchester, Old Minster","1",Somerset,Cheddar,"51.0147895","-3.1029086",Shire match,,,,"51.2753365","-2.7766545","51.019","-3.1","36.4033025754",,
Hypeles eald land (Treable in Cheriton Bishop),"50.7219418768","-3.8148649601","976",S 830,probably authentic,likely authentic,Ælfsige 71,person,lay,"Exter, Crediton","1",Devonshire,Puddletown,,,Not found,"Quite unsure, placed at the end of Treable Lane. Diploma exists in two copies, therefore two archives",,,"50.7489205","-2.3468411","50.7219418768","-3.8148649601","103.6785608765",,
Brabourne,,,"996",S 877,authentic,authentic,Ælfthryth 8,person,lay,"Winchester, New Minster","1",Kent,London,"51.1390871","0.9804239",Shire match,,,,"51.5140003762","-0.0981885391","51.1390871","0.9804239","85.9774063472",,
Burhwarefelda,,,"996",S 877,authentic,authentic,Ælfthryth 8,person,lay,"Winchester, New Minster","1",Kent,London,,,Not found,"Try 'Kentish Place-Names', Uppsala Universitets Årsskrift (1931)",,,"51.5140003762","-0.0981885391",,,,,
Chalk,,,"996",S 877,authentic,authentic,Ælfthryth 8,person,lay,"Winchester, New Minster","1",Kent,London,"51.4321057","0.3993639",Shire match,,,,"51.5140003762","-0.0981885391","51.4321057","0.3993639","35.7511220148",,
Evegate,,,"996",S 877,authentic,authentic,Ælfthryth 8,person,lay,"Winchester, New Minster","1",Kent,London,"51.1133754","0.9541013",Shire match,,,,"51.5140003762","-0.0981885391","51.1133754","0.9541013","85.8452292626",,
Nackington,,,"996",S 877,authentic,authentic,Ælfthryth 8,person,lay,"Winchester, New Minster","1",Kent,London,"51.2495575","1.0896208",Shire match,,,,"51.5140003762","-0.0981885391","51.2495575","1.0896208","87.7717309033",,
Wirigenn (? Perry),,,"996",S 877,authentic,authentic,Ælfthryth 8,person,lay,"Winchester, New Minster","1",Kent,London,,,Not found,"Need to consult Robertson, Charters: Robertson, A. J., Anglo-Saxon Charters, 2nd edn (Cambridge, 1956) pp. 336-51",,,"51.5140003762","-0.0981885391",,,,,
Littlebrook,"51.461985","0.24135025","995",S 885,authentic,authentic,Rochester cathedral,community,,Rochester,"1",Kent,Amesbury,"51.3609716","1.0658995",Shire match,,,,"51.1706875","-1.7706128","51.461985","0.24135025","143.9625333756",,
Wouldham,"51.34964","0.45836","995",S 885,authentic,authentic,Rochester cathedral,community,,Rochester,"1",Kent,Amesbury,"51.3529009","0.474945",Shire match,,,,"51.1706875","-1.7706128","51.34964","0.45836","156.8543546652",,
Downton,"50.993","-1.743","997, 1051",S 891,authentic,authentic,"Winchester, Old Minster",community,,"Winchester, Old Minster","1",Wiltshire,"Wantage, Calne","50.9927562","-1.7517519",Shire match,,,,missing value,missing value,"50.993","-1.743",,,
Ebbesborne,"51.017","-2.013","997",S 891,authentic,authentic,"Winchester, Old Minster",community,,"Winchester, Old Minster","1",Wiltshire,"Wantage, Calne","51.0074719","-2.0135706",Shire match,,,,missing value,missing value,"51.017","-2.013",,,
Cowley Peachey,"51.5209716609","-0.4806586952","998",S 894,spurious (based on other document),likely spurious,Westminster abbey,community,,Westminster,"1",Middlesex,Westminster,,,Not found,,,,"51.5004439","-0.1265398","51.5209716609","-0.4806586952","24.690269127",,
Hampstead,"51.5555124108","-0.1807001213","998",S 894,spurious (based on other document),likely spurious,Westminster abbey,community,,Westminster,"1",Middlesex,Westminster,,,Not found,,,,"51.5004439","-0.1265398","51.5555124108","-0.1807001213","7.1878561529",,
Hanwell,"51.5086501373","-0.3374178821","998",S 894,spurious (based on other document),likely spurious,Westminster abbey,community,,Westminster,"1",Hertfordshire,Westminster,,,Not found,"Now in London, not found in Hertfordshire",,,"51.5004439","-0.1265398","51.5086501373","-0.3374178821","14.6704585165",,
Hendon,"51.5847277585","-0.228208807","998",S 894,spurious (based on other document),likely spurious,Westminster abbey,community,,Westminster,"1",Middlesex,Westminster,,,Not found,,,,"51.5004439","-0.1265398","51.5847277585","-0.228208807","11.7338751839",,
"Lothereslege (lost, in Hendon)","51.5847277585","-0.228208807","998",S 894,spurious (based on other document),likely spurious,Westminster abbey,community,,Westminster,"1",Middlesex,Westminster,,,Not found,Based on Hendon,,,"51.5004439","-0.1265398","51.5847277585","-0.228208807","11.7338751839",,
Paddington,"51.5173388056","-0.1745652543","998",S 894,spurious (based on other document),likely spurious,Westminster abbey,community,,Westminster,"1",Middlesex,Westminster,,,Not found,,,,"51.5004439","-0.1265398","51.5173388056","-0.1745652543","3.8276048728",,
Shepperton,"51.3958628573","-0.4486578817","998",S 894,spurious (based on other document),likely spurious,Westminster abbey,community,,Westminster,"1",Middlesex,Westminster,,,Not found,,,,"51.5004439","-0.1265398","51.3958628573","-0.4486578817","25.2357885937",,
Sullington,,,"998",S 894,spurious (based on other document),likely spurious,Westminster abbey,community,,Westminster,"1",Sussex,Westminster,"50.9073361","-0.4380748",Shire match,,,,"51.5004439","-0.1265398","50.9073361","-0.4380748","69.4838083173",,
Westminster (town),"51.4977204626","-0.1351907105","998",S 894,spurious (based on other document),likely spurious,Westminster abbey,community,,Westminster,"1",Middlesex,Westminster,,,Not found,,,,"51.5004439","-0.1265398","51.4977204626","-0.1351907105","0.6728258978",,
Brickendon,,,"998",S 894,spurious (based on other document),likely spurious,Westminster abbey,community,,Westminster,"1",Hertfordshire,Westminster,"51.7553812","-0.0849622",Shire match,,,,"51.5004439","-0.1265398","51.7553812","-0.0849622","28.5101357255",,
Cowley,,,"1004",S 909,fundamentally authentic,likely authentic,"Oxford, St Frideswide's",community,,"Oxford, St Frideswide's","1",Oxfordshire,Headington,"51.7313447","-1.2175301",Shire match,,,,"51.7601673","-1.2109282","51.7313447","-1.2175301","3.2391288395",,
Cutslow,"51.7897630093","-1.2662969476","1004",S 909,fundamentally authentic,likely authentic,"Oxford, St Frideswide's",community,,"Oxford, St Frideswide's","1",Oxfordshire,Headington,,,Not found,I have used Cutteslowe,,,"51.7601673","-1.2109282","51.7897630093","-1.2662969476","5.0446294389",,
Headington,,,"1004",S 909,fundamentally authentic,likely authentic,"Oxford, St Frideswide's",community,,"Oxford, St Frideswide's","1",Oxfordshire,Headington,"51.7601673","-1.2109282",Shire match,,,,"51.7601673","-1.2109282","51.7601673","-1.2109282","0",,
Upper Winchendon,,,"1004",S 909,fundamentally authentic,likely authentic,"Oxford, St Frideswide's",community,,"Oxford, St Frideswide's","1",Buckinghamshire,Headington,"51.8182405","-0.9260746",Shire match,,,,"51.7601673","-1.2109282","51.8182405","-0.9260746","20.6897487916",,
Whitehill in Tackley,"51.8658905926","-1.3092044858","1004",S 909,fundamentally authentic,likely authentic,"Oxford, St Frideswide's",community,,"Oxford, St Frideswide's","1",Oxfordshire,Headington,,,Not found,,,,"51.7601673","-1.2109282","51.8658905926","-1.3092044858","13.5759622744",,
Waltham St Lawrence,"51.48333333","-0.805","1007",S 915,authentic,authentic,Ælfgar 32,person,lay,Abingdon,"1",Berkshire,Beorchore,"51.4833379","-0.8067539",No shire match,,,,"51.6948740026","-2.4573697442","51.48333333","-0.805","116.9083323352",,
Bedwyn,,,"999",S 937,probably authentic,likely authentic,Abingdon abbey,community,,Abingdon,"1",Wiltshire,Cirencester,"51.379545","-1.5988642",Shire match,,,,"51.7171029","-1.9661616","51.379545","-1.5988642","45.3828942724",,
Burbage,,,"999",S 937,probably authentic,likely authentic,Abingdon abbey,community,,Abingdon,"1",Wiltshire,Cirencester,"51.3548751","-1.6633806",Shire match,,,,"51.7171029","-1.9661616","51.3548751","-1.6633806","45.4480081674",,
Farnborough,,,"999",S 937,probably authentic,likely authentic,Abingdon abbey,community,,Abingdon,"1",Warwickshire,Cirencester,"52.1436011","-1.3683355",Shire match,,,,"51.7171029","-1.9661616","52.1436011","-1.3683355","62.7921304453",,
Hurstbourne (Tarrant),,,"999",S 937,probably authentic,likely authentic,Abingdon abbey,community,,Abingdon,"1",Hampshire,Cirencester,"51.2816791","-1.451908",Shire match,,,,"51.7171029","-1.9661616","51.2816791","-1.451908","60.1834745227",,
Pyrian (? Wood- or Waterperry),"51.753365623","-1.0909907726","999",S 937,probably authentic,likely authentic,Abingdon abbey,community,,Abingdon,"1",Oxfordshire,Cirencester,,,Not found,,,,"51.7171029","-1.9661616","51.753365623","-1.0909907726","60.5930494915",,
South Cerney,,,"999",S 937,probably authentic,likely authentic,Abingdon abbey,community,,Abingdon,"1",Gloucestershire,Cirencester,"51.6728211","-1.9206602",Shire match,,,,"51.7171029","-1.9661616","51.6728211","-1.9206602","5.8456964613",,
Wormleighton,,,"999",S 937,probably authentic,likely authentic,Abingdon abbey,community,,Abingdon,"1",Warwickshire,Cirencester,"52.1790224","-1.3451912",Shire match,,,,"51.7171029","-1.9661616","52.1790224","-1.3451912","66.816678771",,
Bocking,,,"997",S 939,authentic,authentic,"Canterbury, Christ Church",community,,"Canterbury, Christ Church","1",Essex,Cookham,"51.8838073","0.5499129",Shire match,,,,"51.5600965","-0.7081509","51.8838073","0.5499129","94.0994109764",,
Crowland,,,"1032",S 965,spurious,spurious,Crowland abbey,community,,Crowland,"1",Lincolnshire,London,"52.6847789","-0.1578674",Shire match,,,,"51.5140003762","-0.0981885391","52.6847789","-0.1578674","130.3357880123",,
Folkestone,,,"1035",S 981,spurious,spurious,"Canterbury, Christ Church",community,,"Canterbury, Christ Church","1",Kent,Kingston-on-Thames,"51.0791335","1.1794073",Shire match,,,,"51.6743611","-1.2821216","51.0791335","1.1794073","183.7276049249",,
Farnborough,,,"1042",S 993,disputed suspicious (and/or opinions vary),likely authentic,Abingdon abbey,community,,Abingdon,"1",Berkshire,Sutton Courtenay,"51.5367279","-1.3748299",Shire match,,,,"51.6397508","-1.2777309","51.5367279","-1.3748299","13.2917619212",,
