Location,Estate Lat (WIP),Estate Lon (WIP),Year of issue,Diplomas,Num diplomas,Shire,Promulgation site,Lat (comp.),Lon (comp.),Predicted accuracy,Notes,Prom Lat,Prom Lon,Estate Lat,Estate Lon,Distance
Sumerford (? Little Somerford),,,937,S 436,1,Wiltshire,Dorchester,,,Not found,,50.7132064,-2.4371229,,,
Sydling,,,934,S 391,1,Dorset,Dorchester,50.7999259,-2.5263061,Shire match,,50.7132064,-2.4371229,50.7999259,-2.5263061,11.5181677253747
Twynham (Christchurch),,,934,S 391,1,Hampshire,Dorchester,,,Not found,,50.7132064,-2.4371229,,,
Whitcombe,,,934,S 391,1,Dorset,Dorchester,50.6927897,-2.4012155,Shire match,,50.7132064,-2.4371229,50.6927897,-2.4012155,3.40486323531234
Woolland,,,934,S 391,1,Dorset,Dorchester,50.8614553,-2.3168527,Shire match,,50.7132064,-2.4371229,50.8614553,-2.3168527,18.5448488656963
Wootton Bassett,,,937,S 435,1,Wiltshire,Dorchester,51.5417946,-1.9047369,Shire match,,50.7132064,-2.4371229,51.5417946,-1.9047369,99.4295394344973
Wootton Bassett,,,937,S 436,1,Wiltshire,Dorchester,51.5417946,-1.9047369,Shire match,,50.7132064,-2.4371229,51.5417946,-1.9047369,99.4295394344973
"Ye (St Helen’s,  now Green Island)",,,934,S 391,1,Dorset,Dorchester,,,Not found,,50.7132064,-2.4371229,,,
Walden,,,888,S 220,1,Hertfordshire,Droitwich,51.8811097,-0.2760921,Shire match,,52.26851,-2.1486075,51.8811097,-0.2760921,135.424552135148
Cyricestun (? Somerset),,,882,S 345,1,Somerset,Epsom,,,Not found,,51.3326098,-0.2678212,,,
Odstock,,,928,S 400,1,Wiltshire,Exeter,51.0255727,-1.7909125,Shire match,,50.7256138,-3.5269209,51.0255727,-1.7909125,126.660434049393
Winterbourne (? near Bristol),,,928,S 399,1,Gloucestershire,Exeter,,,Not found,,50.7256138,-3.5269209,,,
Ashmanworth,,,934,S 427,1,Hampshire,Frome,,,Not found,,51.2294852,-2.3198467,,,
Chilbolton,,,934,S 427,1,Hampshire,Frome,51.13978,-1.4190758,Shire match,,51.2294852,-2.3198467,51.13978,-1.4190758,63.766112172477
Enford,,,934,S 427,1,Wiltshire,Frome,51.2603232,-1.8055256,Shire match,,51.2294852,-2.3198467,51.2603232,-1.8055256,36.0771731073318
Twickenham,,,948,S 537,1,Middlesex,Gadshill,,,Not found,,52.2698549,-1.545795,,,
Aston in Wellington,,,975,S 802,1,Shropshire,Glastonbury,,,Not found,,51.14804,-2.716577,,,
Between the Tyburn and the Fleet,,,959,S 670,1,Middlesex,Glastonbury,,,Not found,,51.14804,-2.716577,,,
Rimpton,,,956,S 571,1,Somerset,Glastonbury,50.9944264,-2.5628889,Shire match,,51.14804,-2.716577,50.9944264,-2.5628889,20.2011273485201
Blackwell in Tredington,,,963,S 731,1,Worcestershire,Gloucester,,,Not found,,51.8653705,-2.2458192,,,
Blockley,,,963,S 731,1,Gloucestershire,Gloucester,52.0223907,-1.7408221,Shire match,,51.8653705,-2.2458192,52.0223907,-1.7408221,38.8727713462734
Bredon,,,963,S 731,1,Worcestershire,Gloucester,52.0311079,-2.112163,Shire match,,51.8653705,-2.2458192,52.0311079,-2.112163,20.6039549919301
Cropthorne,,,963,S 731,1,Worcestershire,Gloucester,52.1049064,-2.0011014,Shire match,,51.8653705,-2.2458192,52.1049064,-2.0011014,31.5119686815213
Daylesford,,,"949, 963",S 731,1,Gloucestershire,Gloucester,51.9311658,-1.6467043,Shire match,,51.8653705,-2.2458192,51.9311658,-1.6467043,41.8838448888091
Dorn in Batsford,52.0039487443992,-1.70391337159128,963,S 731,1,Gloucestershire,Gloucester,,,Not found,,51.8653705,-2.2458192,52.0039487443992,-1.70391337159128,40.33457317813
Evenlode,,,"963, 1051",S 731,1,Gloucestershire,Gloucester,51.9638236,-1.674951,Shire match,,51.8653705,-2.2458192,51.9638236,-1.674951,40.7794086856639
Grimley,,,963,S 731,1,Worcestershire,Gloucester,52.240114,-2.2413205,Shire match,,51.8653705,-2.2458192,52.240114,-2.2413205,41.6982344318528
Hallow,,,963,S 731,1,Worcestershire,Gloucester,52.2216182,-2.2544279,Shire match,,51.8653705,-2.2458192,52.2216182,-2.2544279,39.64343304755
Harvington,,,963,S 731,1,Worcestershire,Gloucester,52.1386899,-1.9197959,Shire match,,51.8653705,-2.2458192,52.1386899,-1.9197959,37.7644038220842
Icomb,,,963,S 731,1,Gloucestershire,Gloucester,51.9012782,-1.6922932,Shire match,,51.8653705,-2.2458192,51.9012782,-1.6922932,38.3225544317634
Knightwick,,,963,S 731,1,Worcestershire,Gloucester,52.2005208,-2.3948939,Shire match,,51.8653705,-2.2458192,52.2005208,-2.3948939,38.6693654784661
Little Witley,,,963,S 731,1,Worcestershire,Gloucester,52.2706289,-2.3186977,Shire match,,51.8653705,-2.2458192,52.2706289,-2.3186977,45.3686380277599
Mitton in Bredon,51.9970052756914,-2.15190740387401,963,S 731,1,Worcestershire,Gloucester,,,Not found,,51.8653705,-2.2458192,51.9970052756914,-2.15190740387401,16.0076609625779
Northwick in Blockley,,,963,S 731,1,Gloucestershire,Gloucester,52.0307948,-1.7531593,Shire match,,51.8653705,-2.2458192,52.0307948,-1.7531593,38.5516238861622
Overbury,,,963,S 731,1,Worcestershire,Gloucester,52.034755,-2.0632074,Shire match,,51.8653705,-2.2458192,52.034755,-2.0632074,22.6459376646256
Pendock,,,963,S 731,1,Worcestershire,Gloucester,51.9930493,-2.3157651,Shire match,,51.8653705,-2.2458192,51.9930493,-2.3157651,14.9989328923936
Sedgeberrow,,,963,S 731,1,Worcestershire,Gloucester,52.0452687,-1.9684868,Shire match,,51.8653705,-2.2458192,52.0452687,-1.9684868,27.6434578359205
Shipston-on-Stour,,,963,S 731,1,Warwickshire,Gloucester,52.0630181,-1.6247264,Shire match,,51.8653705,-2.2458192,52.0630181,-1.6247264,48.0207976436289
Teddington,,,963,S 731,1,Gloucestershire,Gloucester,51.9964573,-2.0446998,Shire match,,51.8653705,-2.2458192,51.9964573,-2.0446998,20.1024541378068
Tredington,,,963,S 731,1,Warwickshire,Gloucester,52.0902906,-1.6254083,Shire match,,51.8653705,-2.2458192,52.0902906,-1.6254083,49.4324799278587
Cowley,,,1004,S 909,1,Oxfordshire,Headington,51.7313447,-1.2175301,Shire match,,51.7601673,-1.2109282,51.7313447,-1.2175301,3.23912883950852
Cutslow,51.7897630092562,-1.26629694756249,1004,S 909,1,Oxfordshire,Headington,,,Not found,I have used Cutteslowe,51.7601673,-1.2109282,51.7897630092562,-1.26629694756249,5.04462943886417
Headington,,,1004,S 909,1,Oxfordshire,Headington,51.7601673,-1.2109282,Shire match,,51.7601673,-1.2109282,51.7601673,-1.2109282,0
Upper Winchendon,,,1004,S 909,1,Buckinghamshire,Headington,51.8182405,-0.9260746,Shire match,,51.7601673,-1.2109282,51.8182405,-0.9260746,20.6897487916387
Whitehill in Tackley,51.8658905926398,-1.30920448578719,1004,S 909,1,Oxfordshire,Headington,,,Not found,,51.7601673,-1.2109282,51.8658905926398,-1.30920448578719,13.5759622744058
Albury,,,933,S 420,1,Surrey,Kingston-on-Thames,51.209119,-0.4936554,Shire match,,51.6743611,-1.2821216,51.209119,-0.4936554,75.3955059428628
Banstead,,,933,S 420,1,Surrey,Kingston-on-Thames,51.3238969,-0.1986813,Shire match,,51.6743611,-1.2821216,51.3238969,-0.1986813,84.7386039936874
Beddington,51.3688191191177,-0.127039621741541,933,S 420,1,Surrey,Kingston-on-Thames,,,Not found,,51.6743611,-1.2821216,51.3688191191177,-0.127039621741541,87.0796094586296
Bisley,,,933,S 420,1,Surrey,Kingston-on-Thames,51.3234698,-0.6383949,Shire match,,51.6743611,-1.2821216,51.3234698,-0.6383949,59.3487537726144
Bookham,,,"933, 947, 967, 1051",S 420,1,Surrey,Kingston-on-Thames,51.2888353,-0.3838753,Shire match,,51.6743611,-1.2821216,51.2888353,-0.3838753,75.7190854473203
Bosanketh,50.0844509305412,-5.66224403922781,925,S 450,1,Cornwall,Kingston-on-Thames,,,Not found,Little Bosanketh Farm,51.6743611,-1.2821216,50.0844509305412,-5.66224403922781,355.320391896347
Bosliven,50.0706498878936,-5.61056559414857,925,S 450,1,Cornwall,Kingston-on-Thames,,,Not found,There is a Bosliven farm in Cornwall,51.6743611,-1.2821216,50.0706498878936,-5.61056559414857,352.983983585163
Botilwoelon,,,925,S 450,1,Cornwall,Kingston-on-Thames,,,Not found,,51.6743611,-1.2821216,,,
Burnewhall,,,925,S 450,1,Cornwall,Kingston-on-Thames,,,Not found,,51.6743611,-1.2821216,,,
